"title","link","description","img","id"
"На Украине раскрыли схему уклонения от призыва в ряды ВСУ ","https://radiosputnik.ria.ru/20220813/prizyv-1809391566.html","МОСКВА, 13 августа/ Радио Sputnik. Все чаще военнообязанные украинцы выезжают за границу под видом студентов иностранных вузов с целью уклонения от призыва в Вооруженные силы Украины, пишет издание ""Страна.ua"".Отмечается, что такой схемой пользуются как реальные студенты, так и посредники, гарантирующие желающим ""поступление и выезд"" в страны Балтии за 1,5-2,5 тысячи долларов. По данным издания, перед началом нового учебного года таких объявлений в Сети много.Подобные схемы привели к тому, что реальным студентам стало сложно пересечь границу, отметили в издании.""Пограничники проверяют их документы с особой тщательностью и, бывает, заворачивают для дополнительных разбирательств"", – говорится в статье.Опрошенные изданием эксперты подтвердили, что такой способ уклонения от призыва действительно работает. Отмечается, что некоторые вузы даже ввели в этом году опцию обучения на русском языке и предоставляют украинцам скидки.Ранее радио Sputnik сообщало, что Украина готовится к мобилизации женщин на военную службу.Вчера, 17:49В миреЗеленский внес в Раду законопроект о продлении сроков военного положенияКоротко и по делу. Только отборные цитаты в нашем Телеграм-канале.","https://cdnn21.img.ria.ru/images/07e6/07/14/1803681189_0:0:3072:2048_1440x900_80_0_1_1bfd93ebcf06067f1cde3358d67df5a6.jpg?source-sid=ap_photo",621
"Киевские чиновники торговали пропусками на территорию под контролем России ","https://ria.ru/20220813/zaporozhe-1809394803.html","МОСКВА, 13 авг - РИА Новости. Чиновники назначенных Киевом властей Запорожской области зарабатывали 55 тысяч долларов в день на выдаче пропусков на контролируемую Россией территорию, сообщили в Государственном бюро расследований (ГБР) Украины.""Государственное бюро расследований раскрыло масштабную схему незаконного обогащения в Запорожье. Ежедневный незаконный доход составлял 2 миллиона гривен (около 55 тысяч долларов - ред.)"", - говорится в сообщении в Telegram-канале ведомства.Отмечается, что схема действовала с мая текущего года, когда по решению местных властей был утвержден порядок пересечения линии соприкосновения в регионе. Украинские граждане должны были подавать заявки на выезд с контролируемой Украиной территории на территорию под контролем РФ, говорится в сообщении. Утверждается, что некоторые представители местных органов власти, а также правоохранители за взятку предлагали ""быстрое и положительное"" рассмотрение таких заявок. По данным ГБР, стоимость беспрепятственного перехода на освобожденную РФ территорию варьировалась в зависимости от сроков ""рассмотрения заявки"" и способа перемещения.В связи со следственными действиями по делу ГБР провело более 20 обысков.Ранее о подобных схемах сообщали в Харьковской области и в Мелитополе. Там были налажены каналы по переправке военнообязанных мужчин на подконтрольную России территорию, где украинцы могли избежать принудительной мобилизации, сообщали украинские власти.26 мая, 13:00В миреВ Запорожской области назначили главу администрации","https://cdnn21.img.ria.ru/images/07e6/06/0e/1795151413_0:0:3071:2048_1440x900_80_1_1_7db2d9548039f872fbc16042ec0b843e.jpg?source-sid=rian_photo",622
"Украинские войска обстреляли Донецк, Горловку и Ясиноватую ","https://ria.ru/20220813/obstrel-1809393449.html","ДОНЕЦК, 13 авг - РИА Новости. Украинские войска обстреляли Донецк, Горловку и Ясиноватую, выпустив 24 снаряда, сообщает представительство ДНР в Совместном центре по контролю и координации режима прекращения огня.""Зафиксированы обстрелы со стороны вооруженных формирований Украины по направлениям: 15.20 - н.п. Отрадовка – н.п. Горловка: выпущено четыре снаряда калибром 152 мм; 15.40 - н.п. Курдюмовка – н.п. Горловка: выпущено 10 снарядов калибром 155 мм; 16.20 - н.п. Первомайское – г. Донецк (Киевский район): выпущено пять снарядов калибром 152 мм; 16.35 - н.п. Орловка – н.п. Ясиноватая: выпущено пять снарядов калибром 152 мм"", - говорится в сообщениях в Telegram-канале представительства.17:05Обстрелы Каховской ГЭС грозят ядерной катастрофой, заявили на станцииПредставительство также зафиксировало обстрел поселка Зайцево (южное): в 15.10 по нему выпущено три снаряда калибром 152 миллиметра.","https://cdnn21.img.ria.ru/images/07e6/07/1c/1805542186_0:0:3072:2048_1440x900_80_0_1_042df5a74c1d397a2f5ae8454db755b6.jpg?source-sid=ap_photo",623
"В Донецке из-за мины ""Лепесток"" пострадал мирный житель ","https://ria.ru/20220813/donetsk-1809392847.html","ДОНЕЦК, 13 авг - РИА Новости. Мирный житель пострадал в Кировском районе Донецка, наступив на запрещенную противопехотную мину ПФМ-1 ""Лепесток"", сообщили в штабе территориальной обороны ДНР.""В Кировском районе Донецка ранен мирный житель. По улице Красная Заря мужчина 1976 года рождения наступил на сброшенную украинскими боевиками запрещенную противопехотную мину ПФМ-1 ""Лепесток"", - говорится в сообщении в Telegram-канале штаба.13:01В ДНР от противопехотных мин ""Лепесток"" пострадали 40 человекПротивопехотная фугасная мина (ПФМ-1) ""Лепесток"" предназначена для повреждения ног и срабатывает, когда человек на нее наступает. Устанавливается на грунт дистанционными средствами минирования. Особое коварство мины для мирных граждан состоит в том, что из-за необычной формы люди, не знакомые с данной миной, могут не опознать ее как опасный объект. Мина является практически точной копией американской мины BLU-43/B (Dragontooth).Представительство ДНР в Совместном центре по контролю и координации режима прекращения огня неоднократно фиксировало применение украинскими войсками кассетных боеприпасов снаряженных минами ""Лепесток"" по городам республики. Постпредство РФ при ООН ранее распространило в Совбезе письмо о применении Киевом противопехотных мин ""Лепесток"" против гражданского населения в Донбассе. Письмо в том числе было направлено генсеку ООН.Украина в 2005 году ратифицировала Оттавскую конвенцию, которая запрещает применение, накопление и производство противопехотных мин. Таким образом, Киев нарушает взятые на себя международные обязательства.11 августа, 17:04Специальная военная операция на УкраинеВСУ выпустили по Донецку еще три ракеты с минами ""Лепесток""","https://cdnn21.img.ria.ru/images/07e6/08/09/1808220341_0:0:3072:2048_1440x900_80_1_1_ad899b91b6ef7f7bca546cbf7d8ce04a.jpg?source-sid=rian_photo",624
"Число пострадавших при обстрелах Горловки со стороны ВСУ возросло до шести ","https://ria.ru/20220813/gorlovka-1809392067.html","ДОНЕЦК, 13 авг - РИА Новости. Число пострадавших гражданских из-за обстрелов украинскими войсками Горловки увеличилось до шести, сообщает мэр города Иван Приходько.Ранее сообщалось о четырех мирных жителях, получивших ранения в результате обстрела оптового рынка.""Вследствие обстрела Никитовского района Горловки со стороны укронацистов ранен мирный горловчанин по улице Зинина, 20. Также ранена мирная горловчанка по улице Докучаева, 2"", - написал Приходько в Telegram-канале.Горловка расположена в 50 километрах севернее Донецка, в городе находятся химический концерн ""Стирол"" и угледобывающие предприятия. Горловка - один из крупнейших населенных пунктов ДНР, под контролем республики находится с 2014 года. До начала конфликта в Донбассе население Горловки насчитывало более 250 тысяч человек. Наиболее частым обстрелам здесь подвергаются расположенные на окраинах поселок Зайцево и поселки шахт имени Гагарина и ""6/7"".11 августа, 23:21Специальная военная операция на УкраинеНебензя призвал покровителей Киева заставить его прекратить обстрелы ЗАЭС","https://cdnn21.img.ria.ru/images/07e5/04/13/1728984261_0:0:3071:2048_1440x900_80_1_1_5a30290dc1eacb9056e29d99d085ebe3.jpg?source-sid=rian_photo",625
"Украинские войска обстреляли Запорожскую ТЭС ","https://ria.ru/20220813/obstrel-1809391808.html","ЭНЕРГОДАР, 13 авг — РИА Новости. Украинские войска нанесли артиллерийский удар по Запорожской ТЭС, сообщили РИА Новости в администрации Энергодара.""Спустя сутки тишины каратели Зеленского вновь принялись за террор Энергодара! Сегодня днем националисты Украины подвергли артиллерийскому обстрелу район Запорожской ТЭС. По прилегающей к территории станции было выпущено девять артиллерийских снарядов"", — сказал представитель местных властей.Он дополнил, что характер полученных повреждений уточняется.""Важно отметить, что обстрел был тщательно спланирован украинским командованием. Об этом свидетельствует тот факт, что за час до открытия огня в сети стали распространяться сообщения о подготовке ВС РФ огневой провокации в данном районе"", — добавил собеседник агентства.22 июня, 17:18ИнфографикаИнтерактивная карта спецоперации Вооруженных сил России на Украине В ходе спецоперации российские военные взяли под контроль Херсонскую область и приазовскую часть Запорожской области, заняв такие крупные города, как Херсон, Мелитополь и Бердянск, и отрезав Украину от Азовского моря.В обоих регионах сформированы пророссийские администрации, восстанавливаются торговые и транспортные связи с Крымом. Новые власти объявили о планах войти в состав России. Кроме того, спустя восемь лет разблокирован Северо-Крымский канал, вода снова поступает на полуостров.Россия начала спецоперацию на Украине 24 февраля. Президент Владимир Путин назвал ее целью ""защиту людей, которые на протяжении восьми лет подвергаются издевательствам, геноциду со стороны киевского режима"". Для этого, по его словам, планируется провести ""демилитаризацию и денацификацию Украины"", предать суду всех военных преступников, ответственных за ""кровавые преступления против мирных жителей"" Донбасса.11 августа, 18:38Специальная военная операция на Украине""Чернобыль — это цветочки"".  Киев поставил мир на грань ядерной катастрофы","https://cdnn21.img.ria.ru/images/07e6/08/0d/1809393089_0:0:3150:2048_1440x900_80_0_1_72a0501b51b210c1b59ca2624cdf0f80.jpg?source-sid=afp",626
"ВСУ при обстреле села Луганское повредили здание средней школы ","https://ria.ru/20220813/obstrel-1809390382.html","ДОНЕЦК, 13 авг - РИА Новости. Средняя школа села Луганское получила повреждения из-за обстрелов украинскими войсками, сообщил мэр Донецка Алексей Кулемзин.""В средней школе села Луганское в результате обстрелов... выбиты стекла"", - написал он в Telegram-канале.10 августа, 13:40Специальная военная операция на УкраинеУкраинские военные обстреляли школу-интернат в Донецке","https://cdnn21.img.ria.ru/images/07e6/07/08/1801335683_0:0:3072:2048_1440x900_80_0_1_9aca35d189302c819f711f633da2d43a.jpg?source-sid=ap_photo",627
"Обстрелы Каховской ГЭС грозят ядерной катастрофой, заявили на станции ","https://ria.ru/20220813/zaes-1809389773.html","МЕЛИТОПОЛЬ, 13 авг — РИА Новости. Обстрелы Каховской ГЭС со стороны Украины могут привести к ядерной катастрофе на Запорожской АЭС, заявил замдиректора станции по реконструкции Арсений Зеленский.По его словам, из-за непрекращающихся ударов объект работает в аварийном режиме  из шести турбогенераторов действуют только три.""На данный момент в строю у нас три гидроагрегата, до попадания в районе северного торца было четыре гидроагрегата. Работаем в очень опасном режиме. Конечно, боевые действия вблизи станции недопустимы, это стратегический объект… Проблемы с плотиной Каховской ГЭС приведут к большим неприятностям на Запорожской АЭС, это может привести к развитию ядерной катастрофы"", — сказал Зеленский журналистам.Он уточнил, что четвертый гидроагрегат отключили в целях безопасности — из-за угрозы разлива масла из хранилища.07:45В миреВ МИД РФ предупредили о катастрофических последствиях ударов ВСУ по ЗАЭСВместе с тем, добавил Зеленский, крупных повреждений станция не получила. При этом, отметил он, стоит учитывать, что Каховская ГЭС входит в единую энергосистему Украины.""Конечно, устойчивость энергосистемы, особенно южного региона, сейчас напрямую зависит от наших мощностей"", — подчеркнул специалист.ВСУ неоднократно обстреливали территорию ГЭС в Новой Каховке. Особенно мощный удар украинские силовики нанесли в ночь на 12 июля — тогда взорвались склады с селитрой, погибли и пострадали люди. По информации местных властей, из-за обстрелов получили повреждения не менее 400 жилых домов.11 августа, 18:38Специальная военная операция на Украине""Чернобыль — это цветочки"".  Киев поставил мир на грань ядерной катастрофыВ ходе спецоперации российские военные взяли под контроль Херсонскую область и приазовскую часть Запорожской области, заняв такие крупные города, как Херсон, Мелитополь и Бердянск, и отрезав Украину от Азовского моря.В обоих регионах сформированы пророссийские администрации, восстанавливаются торговые и транспортные связи с Крымом. Новые власти объявили о планах войти в состав России. Кроме того, спустя восемь лет разблокирован Северо-Крымский канал, вода снова поступает на полуостров.Вчера, 19:24Специальная военная операция на УкраинеРоссия призвала Украину не мешать работе МАГАТЭ на ЗАЭС","https://cdnn21.img.ria.ru/images/07e6/08/03/1807034982_0:0:942:534_1440x900_80_1_1_3bdfa78e1a37c27d787b6952714f9668.jpg?source-sid=rian_photo",628
"В Польше за помощь в поиске виновных в отравлении Одры назначили награду ","https://radiosputnik.ria.ru/20220813/otravlenie-1809388413.html","МОСКВА, 13 августа/ Радио Sputnik. Полиция Польши объявила награду в размере одного миллиона злотых (около 220 тысяч долларов) за помощь в выявлении виновников в отравлении реки Одры. Об этом сообщил заместитель министра внутренних дел и администрации республики Мачей Вонсик.Ранее в реке Одре в Польше зафиксировали массовый мор рыб. Отмечается, что польская армия была привлечена к очистке реки.Польский премьер-министр Матеуш Моравецкий обвинил соответствующие службы в недостаточной оперативности решения вопроса и уволил главу предприятия ""Польские воды"" Пшемыслава Дацу и начальника Главной инспекции охраны окружающей среды Михала Мистшака.""Сегодня главный комендант полиции назначил вознаграждение за помощь в выявлении виновников этой экологической катастрофы в размере одного миллиона злотых"", – приводит РИА Новости слова Вонсика.По словам главы министерства климата и окружающей среды Польши Анны Москвы, в реке не было обнаружено следов ртути.""Мы официально получили от немецкой стороны текущие результаты исследований воды. Ртути не было обнаружено"", – сказано в ее сообщении в Twitter.При этом, результаты анализов воды как польских, так и немецких специалистов, показали высокую соленость воды в реке.""В Польше продолжаются комплексные токсикологические исследования. Мы сообщим о дальнейших выводах"", – отметила глава ведомства.Ранее радио Sputnik сообщало, что на реке Нерль в Ярославской области заметили маслянистые пятна.5 октября 2020, 17:05Не те масштабы. Минприроды не отнесло инцидент на Камчатке к катастрофеКоротко и по делу. Только отборные цитаты в нашем Телеграм-канале.","https://cdnn21.img.ria.ru/images/07e6/08/0a/1808548462_0:0:3072:2048_1440x900_80_0_1_548c8f1a247c9caf85978f7cff646ec3.jpg?source-sid=cc_by-sa_40",629
"На Украине раскрыли схему массового уклонения мужчин от призыва в ВСУ ","https://ria.ru/20220813/prizyv-1809388260.html","МОСКВА, 13 авг — РИА Новости. Среди жителей Украины набирает обороты схема выезда за границу под видом студентов с целью уклонения от призыва в Вооруженные силы республики. Об этом пишет обозреватель ""Страны"" Людмила Ксенз.По информации издания, этим способом активно пользуются как реальные студенты, так и посредники, которые гарантируют желающим ""поступление и выезд"" в польские и прибалтийские вузы за 1,5-2,5 тысячи долларов. В социальных сетях много таких объявлений.5 августа, 20:16""Ведут народ на убой"". Британцев шокировал отчет о преступлениях ВСУПодобные схемы уже привели к тому, что нередко за границу сложно выехать даже тем студентам, которые действительно там учатся.""Пограничники проверяют их документы с особой тщательностью и, бывает, заворачивают для дополнительных разбирательств"", — отмечается в публикации.По словам экспертов, опрошенных газетой, способ с приобретением студенческой визы для уклонения от мобилизации реально работает. Некоторые вузы даже ввели в этом году обучение на русском языке и дают украинцам скидки, подытоживается в материале.Ранее британское издание Daily Mail рассказало, что из-за больших потерь Вооруженные силы Украины призывают всех подряд. Представителям военкоматов приходится буквально бегать за каждым военнообязанным. Так, женщина пожаловалась, что чиновники догнали 18-летнего велосипедиста, чтобы уведомить его о необходимости прибыть в пункт призыва. Повестки вручают у входа в церковь и даже на пляже. По мнению британских журналистов, агрессивные методы, которые используют киевские власти для мобилизации мужчин, отражают реальное количество потерь в ВСУ.Россия с 24 февраля проводит специальную операцию по освобождению Донбасса. Владимир Путин назвал ее целью ""защиту людей, которые на протяжении восьми лет подвергаются издевательствам, геноциду со стороны киевского режима"". В Министерстве обороны сообщили, что армия уже выполнила основные задачи первого этапа — существенно снизила боевой потенциал украинских силовиков.3 августа, 17:35В США предупредили о крахе ""миллионной армии"" Украины при попытке наступать","https://cdnn21.img.ria.ru/images/07e6/05/1a/1790774684_0:0:3131:2047_1440x900_80_0_1_727e20940e9f4a3349bf1456c4aa9d98.jpg?source-sid=ap_photo",630
